NOME	IMGSRC	RATING	TIPO	DIST	PRAZO	FRETE	DESCONTO	URL
Japartiu - Barra da Tijuca	https://static-images.ifood.com.br/image/upload/t_high/logosgde/692a4a31-0bba-43c1-a900-498b43e1d4f0/201905231324_6upc_i.jpg	4.0	Japonesa	2.6 km	30-40 min	Grátis	Cupom de R$ 20 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/japartiu---barra-da-tijuca-barra-da-tijuca/692a4a31-0bba-43c1-a900-498b43e1d4f0
Japartiu Delivery	https://static-images.ifood.com.br/image/upload/t_high/logosgde/12a9b261-8f54-4824-a839-9cfd1836a575/201907081020_8Bw4_.jpeg	4.0	Japonesa	2.6 km	30-40 min	Grátis	Cupom de R$ 20 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/japartiu-delivery-barra-da-tijuca/12a9b261-8f54-4824-a839-9cfd1836a575
Japan Time - Barra da Tijuca	https://static-images.ifood.com.br/image/upload/t_high/logosgde/08cb71eb-46dc-43a5-ae7d-373a7c325499/201910031209_nsta_.jpeg	4.3	Japonesa	2.7 km	30-40 min	Grátis	Cupom de R$ 20 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/japan-time---barra-da-tijuca-barra-da-tijuca/08cb71eb-46dc-43a5-ae7d-373a7c325499
Sunomono Barra	https://static-images.ifood.com.br/image/upload/t_high/logosgde/a43066ad-2a63-444e-89d7-2d6918f2d51e/202003051930_jF5C_i.jpg	4.7	Japonesa	1.0 km	40-50 min	Grátis	Cupom de R$ 12 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/sunomono-barra-barra-da-tijuca/a43066ad-2a63-444e-89d7-2d6918f2d51e
Sushi Rão - Barra da Tijuca	https://static-images.ifood.com.br/image/upload/t_high/logosgde/201708181729_bba66204-02fc-477c-a7c0-4b50941bc9ed.png	4.3	Japonesa	3.1 km	50-60 min	Grátis	Cupom de R$ 12 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/sushi-rao---barra-da-tijuca-barra-da-tijuca/bba66204-02fc-477c-a7c0-4b50941bc9ed
Let'sushi - Barra da Tijuca	https://static-images.ifood.com.br/image/upload/t_high/logosgde/4d386578-a5aa-4e70-b27b-99bcb50df3d8/202103090745_sPVX_i.png	4.9	Japonesa	1.0 km	40-50 min	Grátis	Cupom de R$ 12 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/letsushi---barra-da-tijuca-barra-da-tijuca/4d386578-a5aa-4e70-b27b-99bcb50df3d8
Kimura	https://static-images.ifood.com.br/image/upload/t_high/logosgde/92d66eb8-ce63-4ecc-9ae2-191851978470/202104301520_JDjB_.jpeg	4.5	Japonesa	0.5 km	29-39 min	Grátis	Cupom de R$ 12 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/kimura-barra-da-tijuca/92d66eb8-ce63-4ecc-9ae2-191851978470
Sushi Go! - Barra	https://static-images.ifood.com.br/image/upload/t_high/logosgde/c743c89f-276e-4636-8fda-78bf7c1e8184/202110252334_buzo_i.jpg	4.5	Japonesa	2.1 km	39-49 min	Grátis	Cupom de R$ 12 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/sushi-go---barra-barra-da-tijuca/c743c89f-276e-4636-8fda-78bf7c1e8184
Uau Sushi - Barra da Tijuca	https://static-images.ifood.com.br/image/upload/t_high/logosgde/fe372eec-599b-44c5-8848-bda0ab9422b8/201907031611_9Pbp_.jpeg	4.2	Japonesa	2.7 km	30-40 min	Grátis	Cupom de R$ 20 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/uau-sushi---barra-da-tijuca-barra-da-tijuca/fe372eec-599b-44c5-8848-bda0ab9422b8
Boomie Sushi & Poke Bowl - Barra	https://static-images.ifood.com.br/image/upload/t_high/logosgde/b9038cd5-8eee-482b-97bb-27581a42acae/202101251428_YDKA_i.png	4.3	Japonesa	0.4 km	29-39 min	Grátis	Peça 3 vezes, ganhe R$ 20	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/boomie-sushi--poke-bowl---barra-barra-da-tijuca/b9038cd5-8eee-482b-97bb-27581a42acae
Japaflash Barra - Culinária Japonesa	https://static-images.ifood.com.br/image/upload/t_high/logosgde/6004b5b6-618c-46af-bb41-4f29d0ca597f/201901091748_logo_.png	3.9	Japonesa	1.1 km	30-40 min	Grátis	Cupom de R$ 20 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/japaflash-barra---culinaria-japonesa-barra-da-tijuca/6004b5b6-618c-46af-bb41-4f29d0ca597f
Tropical Sushi	https://static-images.ifood.com.br/image/upload/t_high/logosgde/9cebd617-a78e-4f76-b7de-808610d7fb4b/202005151709_4s0z_i.jpg	4.5	Japonesa	3.2 km	44-54 min	Grátis	Cupom de R$ 12 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/tropical-sushi-barra-da-tijuca/9cebd617-a78e-4f76-b7de-808610d7fb4b
Yori Sushi - Barra	https://static-images.ifood.com.br/image/upload/t_high/logosgde/c2efd008-a4e3-4b4d-90fe-6f07bd2487fd/202108091243_2wgw_i.jpg	4.6	Japonesa	1.5 km	40-50 min	Grátis	Cupom de R$ 12 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/yori-sushi---barra-barra-da-tijuca/c2efd008-a4e3-4b4d-90fe-6f07bd2487fd
Kyoto Mania Culinária Japonesa	https://static-images.ifood.com.br/image/upload/t_high/logosgde/2021f2f4-5c0d-4012-bd7b-bc18d4f0c86e/202104081159_1S0N_.jpeg	4.3	Japonesa	3.0 km	20-30 min	Grátis	Sem desconto	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/kyoto-mania-culinaria-japonesa-itanhanga/2021f2f4-5c0d-4012-bd7b-bc18d4f0c86e
Della Japa Gagliasso	https://static-images.ifood.com.br/image/upload/t_high/logosgde/f752019d-68a4-4a5e-8d27-3fb234753e49/202109091940_gJT4_i.jpg	4.5	Japonesa	0.9 km	30-40 min	Grátis	Cupom de R$ 10 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/della-japa-gagliasso-barra-garden/f752019d-68a4-4a5e-8d27-3fb234753e49
House Rio Sushi	https://static-images.ifood.com.br/image/upload/t_high/logosgde/410b8562-4ebc-4484-b733-fdaa4d85fd51/202008031006_0s1P_.jpeg	4.8	Japonesa	2.6 km	29-39 min	Grátis	Cupom de R$ 12 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/house-rio-sushi-barra-da-tijuca/410b8562-4ebc-4484-b733-fdaa4d85fd51
Zo Sushi	https://static-images.ifood.com.br/image/upload/t_high/logosgde/logo%20zo_zosushi.jpg	4.8	Japonesa	2.1 km	55-65 min	Grátis	Cupom de R$ 12 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/zo-sushi-barra-da-tijuca/d1c007fb-acc2-49eb-9017-804e4cc1ae20
Japa Por 1 Real- Barra	https://static-images.ifood.com.br/image/upload/t_high/logosgde/70b82e0a-ca5f-4805-8bca-4730aff738fb/202002041510_INfy_i.jpg	4.5	Japonesa	1.1 km	40-50 min	Grátis	Cupom de R$ 10 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/japa-por-1-real--barra-barra-da-tijuca/70b82e0a-ca5f-4805-8bca-4730aff738fb
