NOME	IMGSRC	RATING	TIPO	DIST	PRAZO	FRETE	DESCONTO	URL
O Fornês - Pizzaria Barra	https://static-images.ifood.com.br/image/upload/t_high/logosgde/6155bc4d-c7a6-4951-9d8d-2b17a79e448a/202105101533_Hvu2_i.png	4.7	Pizza	1.1 km	20-30 min	Grátis	Cupom de R$ 12 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/o-fornes---pizzaria-barra-barra-da-tijuca/6155bc4d-c7a6-4951-9d8d-2b17a79e448a
Atillio Pizza Premium - Barra	https://static-images.ifood.com.br/image/upload/t_high/logosgde/7b225e14-3310-4283-9c7f-298c4bd23a83/202102040103_lhi2_.jpeg	4.8	Pizza	4.8 km	35-45 min	Grátis	Cupom de R$ 20 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/atillio-pizza-premium---barra-jacarepagua/7b225e14-3310-4283-9c7f-298c4bd23a83
Vezpa Pizzas - Olegário	https://static-images.ifood.com.br/image/upload/t_high/logosgde/701e4a7f-f3a0-47c0-bd23-8bff0885970d/202105180940_SfFR_i.png	4.6	Pizza	3.2 km	55-65 min	Grátis	Cupom de R$ 10 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/vezpa-pizzas---olegario-barra-da-tijuca/701e4a7f-f3a0-47c0-bd23-8bff0885970d
Forneria Original - Jardim Oceânico	https://static-images.ifood.com.br/image/upload/t_high/logosgde/abf92106-9743-425d-9d4f-faa0a29ee307/202101061616_7b9F_.jpeg	4.7	Pizza	3.0 km	29-39 min	Grátis	Cupom de R$ 12 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/forneria-original---jardim-oceanico-barra-da-tijuca/abf92106-9743-425d-9d4f-faa0a29ee307
Suburbanos Pizza Rústica - Barra	https://static-images.ifood.com.br/image/upload/t_high/logosgde/b3ca4c80-905b-429e-9963-01ae33d4caf2/202105241947_KKF8_i.png	4.6	Pizza	2.9 km	20-30 min	R$ 0,02	Cupom de R$ 5 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/suburbanos-pizza-rustica---barra-barra-da-tijuca/b3ca4c80-905b-429e-9963-01ae33d4caf2
Pizza do Rão - Barra da Tijuca	https://static-images.ifood.com.br/image/upload/t_high/logosgde/84e5daa3-0df1-458a-800d-04dbe88f6c0b/202002121711_yhtu_.jpeg	4.4	Pizza	1.4 km	20-30 min	Grátis	Sem desconto	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/pizza-do-rao---barra-da-tijuca-barra-da-tijuca/84e5daa3-0df1-458a-800d-04dbe88f6c0b
Domino’s Pizza - Parque das Rosas	https://static-images.ifood.com.br/image/upload/t_high/logosgde/d8914202-6ee4-4d5a-a256-656cb008fa93/202105251034_BET3_i.png	3.7	Pizza	1.6 km	35-45 min	Grátis	Sem desconto	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/dominos-pizza---parque-das-rosas-barra-da-tijuca/d8914202-6ee4-4d5a-a256-656cb008fa93
Grassanos Pizzaria Barra I	https://static-images.ifood.com.br/image/upload/t_high/logosgde/201901141903_83c30722-0aa4-41f9-a33f-1c4a85a9bbd7.png	4.7	Pizza	2.8 km	20-30 min	Grátis	Cupom de R$ 12 disponível	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/grassanos-pizzaria-barra-i-barra-da-tijuca/83c30722-0aa4-41f9-a33f-1c4a85a9bbd7
Mamma Jamma Barra	https://static-images.ifood.com.br/image/upload/t_high/logosgde/63485663-6d8d-4134-8ea9-a5bf55d67869/202009201732_8VqX_.jpeg	4.5	Pizza	2.1 km	45-55 min	Grátis	Sem desconto	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/mamma-jamma-barra-barra-da-tijuca/63485663-6d8d-4134-8ea9-a5bf55d67869
Domino's Pizza - Downtown	https://static-images.ifood.com.br/image/upload/t_high/logosgde/2c27f75f-2747-4787-9086-d119b622efb6_DOMIN_NTOWN.png	4.6	Pizza	1.6 km	50-60 min	Grátis	Sem desconto	https://www.ifood.com.br/delivery/rio-de-janeiro-rj/dominos-pizza---downtown-barra-da-tijuca/799caa75-2441-461c-8f91-194329bde56c
